iter	Passed	Remaining
406	4468	6509
407	4472	6490
408	4477	6470
409	4484	6452
410	4488	6432
411	4495	6415
412	4502	6399
413	4511	6385
414	4516	6366
415	4522	6348
416	4532	6336
417	4544	6327
418	4553	6314
419	4558	6295
420	4563	6276
421	4570	6260
422	4579	6246
423	4585	6228
424	4590	6210
425	4595	6191
426	4604	6179
427	4610	6162
428	4617	6145
429	4633	6142
430	4641	6127
431	4653	6118
432	4658	6099
433	4663	6082
434	4671	6067
435	4677	6050
436	4682	6032
437	4687	6014
438	4701	6007
439	4707	5991
440	4714	5975
441	4724	5964
442	4730	5947
443	4737	5932
444	4744	5917
445	4750	5900
446	4757	5885
447	4762	5867
448	4775	5860
449	4781	5844
450	4788	5828
451	4797	5816
452	4801	5798
453	4807	5781
454	4821	5775
455	4830	5762
456	4835	5745
457	4845	5734
458	4850	5717
459	4857	5702
460	4864	5687
461	4870	5672
462	4877	5656
463	4881	5639
464	4892	5629
465	4898	5613
466	4903	5596
467	4908	5580
468	4918	5569
469	4925	5554
470	4934	5542
471	4940	5526
472	4945	5510
473	4951	5494
474	4962	5485
475	4967	5468
476	4972	5451
477	4982	5440
478	4990	5428
479	4995	5411
480	5001	5396
481	5016	5391
482	5027	5381
483	5035	5368
484	5041	5353
485	5052	5343
486	5059	5329
487	5065	5314
488	5070	5298
489	5079	5287
490	5084	5271
491	5091	5257
492	5101	5246
493	5110	5234
494	5116	5220
495	5126	5208
496	5132	5194
497	5137	5178
498	5144	5165
499	5153	5153
500	5163	5142
501	5168	5127
502	5179	5117
503	5184	5102
504	5190	5088
505	5202	5079
506	5208	5064
507	5213	5049
508	5222	5038
509	5228	5023
510	5233	5007
511	5237	4992
512	5245	4979
513	5252	4966
514	5257	4951
515	5263	4937
516	5271	4924
517	5275	4909
518	5281	4894
519	5286	4879
520	5297	4870
521	5304	4857
522	5310	4843
523	5324	4836
524	5330	4822
525	5335	4807
526	5346	4798
527	5350	4783
528	5357	4770
529	5366	4759
530	5371	4744
531	5376	4729
532	5381	4714
533	5393	4706
534	5402	4695
535	5406	4680
536	5417	4670
537	5421	4655
538	5427	4641
539	5432	4627
540	5440	4615
541	5447	4602
542	5451	4588
543	5456	4573
544	5465	4563
545	5470	4548
546	5478	4536
547	5491	4529
548	5495	4514
549	5500	4500
550	5509	4489
551	5516	4476
552	5526	4466
553	5534	4455
554	5539	4441
555	5544	4427
556	5549	4413
557	5557	4401
558	5561	4387
559	5567	4374
560	5572	4360
561	5579	4348
562	5588	4337
563	5593	4323
564	5598	4310
565	5606	4299
566	5614	4287
567	5620	4274
568	5634	4267
569	5638	4253
570	5644	4240
571	5649	4226
572	5655	4214
573	5661	4201
574	5666	4188
575	5676	4178
576	5682	4165
577	5688	4153
578	5693	4139
579	5702	4129
580	5709	4117
581	5714	4104
582	5727	4096
583	5732	4083
584	5737	4070
585	5742	4057
586	5751	4046
587	5756	4033
588	5760	4019
589	5766	4007
590	5780	4000
591	5787	3988
592	5795	3977
593	5802	3965
594	5810	3954
595	5815	3941
596	5824	3931
597	5830	3919
598	5835	3906
599	5844	3896
600	5849	3883
601	5856	3871
602	5861	3858
603	5871	3849
604	5877	3837
605	5883	3824
606	5889	3813
607	5896	3801
608	5904	3790
609	5909	3778
610	5920	3769
611	5924	3756
612	5933	3746
613	5941	3735
614	5948	3723
615	5953	3711
616	5958	3698
617	5967	3688
618	5972	3676
619	5978	3664
620	5986	3653
621	5992	3642
622	5999	3630
623	6011	3622
624	6017	3610
625	6022	3597
626	6027	3585
627	6037	3576
628	6043	3564
629	6049	3553
630	6058	3542
631	6064	3530
632	6069	3518
633	6083	3511
634	6089	3500
635	6105	3494
636	6112	3483
637	6117	3470
638	6122	3458
639	6132	3449
640	6137	3437
641	6143	3425
642	6148	3413
643	6158	3404
644	6163	3392
645	6168	3380
646	6178	3371
647	6184	3359
648	6191	3348
649	6196	3336
650	6207	3327
