iter	RMSE
118	0.1788721626
119	0.1788071478
120	0.1787438621
121	0.178559376
122	0.178452444
123	0.1782846548
124	0.1781066504
125	0.1780251781
126	0.1779372116
127	0.1778448716
128	0.1777818353
129	0.1776597313
130	0.1774800416
131	0.177275522
132	0.1770597243
133	0.1770124228
134	0.1769391308
135	0.176897383
136	0.1768355718
137	0.1767634745
138	0.1765729224
139	0.176526377
140	0.1763964074
141	0.1762741518
142	0.1761775031
143	0.1760177905
144	0.1758153088
145	0.1756411882
146	0.1755029871
147	0.1753861335
148	0.1752893693
149	0.1751593987
150	0.1750779327
151	0.1749671361
152	0.1748364341
153	0.1747104735
154	0.1746123165
155	0.1744250794
156	0.1742398522
157	0.1740988912
158	0.1739971175
159	0.1739106176
160	0.1736906292
161	0.1735533721
162	0.1734061545
163	0.1732946399
164	0.1731894939
165	0.1730856854
166	0.1730311316
167	0.1728998868
168	0.1727788919
169	0.1727110451
170	0.172583049
171	0.1724043012
172	0.1722900584
173	0.1721827588
174	0.1720893052
175	0.1720749999
176	0.1719997373
177	0.171871536
178	0.1717137866
179	0.1716328605
180	0.1715020132
181	0.1714098315
182	0.1712479979
183	0.1711885745
184	0.17104554
185	0.1709284271
186	0.1708770092
187	0.1708087915
188	0.1707521292
189	0.1707012959
190	0.1705185091
191	0.1704091463
192	0.170349133
193	0.1702538576
194	0.1700796705
195	0.1699290198
196	0.1698017056
197	0.1696553095
198	0.1695361653
199	0.1694415789
200	0.1693340707
201	0.1692060769
202	0.1690467413
203	0.1688989927
204	0.1688511431
205	0.1687485345
206	0.1686447984
207	0.1684825258
208	0.1684313537
209	0.168275636
210	0.1681790605
211	0.1680468101
212	0.1679126067
213	0.1677798235
214	0.1677139373
215	0.1676666525
216	0.1674778756
217	0.1673317477
218	0.1672510496
219	0.1671175729
220	0.1670188364
221	0.1669742175
222	0.1668910537
223	0.1667973879
224	0.1666089571
225	0.1665405504
226	0.1664982879
227	0.1663503972
228	0.1662413909
229	0.1662009814
230	0.1660208689
231	0.1658430632
232	0.1656764619
233	0.1655643894
234	0.1654533229
235	0.1653637568
236	0.1653086302
237	0.1651422235
238	0.1651044549
239	0.1649509469
240	0.1647609249
241	0.1647245953
242	0.1645896251
243	0.1644066392
244	0.1642751033
245	0.1641395548
246	0.164121876
247	0.1639795468
248	0.1638608782
249	0.1637566384
250	0.1636285107
251	0.163474999
252	0.1633297831
253	0.1631798695
254	0.1631366026
255	0.1630835527
256	0.1629382943
257	0.1628706519
258	0.1628302106
259	0.1626817184
260	0.1625913457
261	0.1625002759
262	0.1624006832
263	0.1623809105
264	0.1623420734
265	0.1622360197
266	0.1621425312
267	0.1620672325
268	0.1619762276
269	0.1618837925
270	0.1618107249
271	0.161697104
272	0.1616115804
273	0.1615270638
274	0.1614005032
275	0.1613586183
276	0.1612851988
277	0.1612349335
278	0.1611603879
279	0.1611058839
280	0.1610270865
281	0.1608969789
282	0.1608389385
283	0.1607466041
284	0.1606846478
285	0.1606408106
286	0.160521974
287	0.160475627
288	0.1603724478
289	0.1602835623
290	0.1602416161
291	0.1600761419
292	0.160014851
293	0.1599532615
294	0.1599139753
295	0.1597501391
296	0.1596919263
297	0.1595654267
298	0.1594762119
299	0.1593742966
300	0.1593361735
301	0.159213003
302	0.1591167668
303	0.159035514
304	0.1589347169
305	0.1588052322
306	0.1586613282
307	0.1586490884
308	0.1586371602
309	0.1585223396
310	0.1584152358
311	0.1583338072
312	0.1582224481
313	0.1581116587
314	0.1580229259
315	0.1579416493
316	0.1578569549
317	0.1577260851
318	0.1576963139
319	0.1576192832
320	0.1575019066
321	0.1574504867
322	0.1573653714
323	0.157283308
324	0.1572082623
325	0.1570775478
326	0.1570063041
327	0.1569234245
328	0.1568811085
329	0.1568344692
330	0.1566824443
331	0.1566559976
332	0.156566452
333	0.1564518629
334	0.1563784534
335	0.15627394
336	0.1561410678
337	0.1560459332
338	0.1560040225
339	0.1559920772
340	0.1559651256
341	0.1559538901
342	0.1558182872
343	0.1558073212
344	0.1556580418
345	0.1555902593
346	0.1554932198
347	0.1553482914
348	0.1552556629
349	0.1551151046
350	0.1550323288
351	0.1549096269
352	0.1548988613
353	0.1547724098
354	0.1546934236
355	0.1546717708
356	0.1545969354
357	0.1544923497
358	0.1544006908
359	0.1543296357
360	0.1542214141
361	0.1540815408
362	0.1540090156
363	0.1539310041
364	0.1537905381
365	0.1536895211
366	0.1535783473
367	0.1534574164
368	0.1533898816
369	0.1532896751
370	0.1531951466
371	0.1530074064
372	0.1529968313
373	0.1528631719
374	0.1527638836
375	0.1526450083
376	0.1525078455
377	0.1524974943
378	0.1524289658
379	0.1524188705
380	0.1523114075
381	0.1521943768
382	0.1520662175
383	0.1519985021
384	0.1519590198
385	0.1519147816
386	0.1518097324
387	0.1517752044
388	0.1516715897
389	0.1516063526
390	0.1515405761
391	0.1514378781
392	0.1514279673
393	0.1513964145
394	0.1513611766
395	0.1512533689
396	0.151193828
397	0.1511330176
398	0.1510590292
399	0.1509883696
400	0.15093072
401	0.1508829855
402	0.150781026
403	0.1507513817
404	0.150722825
405	0.1506829203
406	0.150548894
407	0.150446298
408	0.1503556642
409	0.1502900189
410	0.1502007503
411	0.1501629366
412	0.1500839995
413	0.1500307822
414	0.1499488626
415	0.1498179113
416	0.1497671019
417	0.1496923985
418	0.1496427817
419	0.1495814302
420	0.1495546135
421	0.1494790196
422	0.1493901299
423	0.1492828951
424	0.1492166255
425	0.1491700138
426	0.1490814165
427	0.1490247127
428	0.1489482956
429	0.1488904418
430	0.1488291872
431	0.148734028
432	0.1486753337
433	0.1485837039
434	0.1484226938
435	0.1483732177
436	0.1482127184
437	0.1481470914
438	0.1480904541
439	0.1480079107
440	0.1479264654
441	0.147917339
442	0.1478716002
443	0.1478199118
444	0.1477751444
445	0.1477215285
446	0.147600502
447	0.1475572209
448	0.1474982122
449	0.1474139386
450	0.147338267
451	0.1473293358
452	0.1472769464
453	0.1471586541
454	0.1471041864
455	0.1470334049
456	0.146970657
457	0.1468944004
458	0.1468522821
459	0.146815204
460	0.1467768231
461	0.1467373563
462	0.1466774613
463	0.1465982768
464	0.1465159872
465	0.1464356627
466	0.1463991387
467	0.1463124895
468	0.14626086
469	0.1461835525
470	0.1461172815
471	0.1460642456
472	0.1459084442
473	0.1458851102
474	0.1458260299
475	0.1458172324
476	0.1457632882
477	0.1457133288
478	0.145603419
479	0.1455615034
480	0.1455133894
481	0.1454568988
482	0.1453583721
483	0.1452990034
484	0.1452672482
485	0.1452155548
486	0.145130993
487	0.1450180482
488	0.1449497811
489	0.144839038
490	0.1447916102
491	0.144782619
492	0.1447738848
493	0.144626852
494	0.1445953681
495	0.144489934
496	0.1444696625
497	0.1444237819
498	0.1443784554
499	0.1442538795
500	0.1441987076
501	0.1441593363
502	0.1441011189
503	0.1439728091
504	0.1439644225
505	0.1439165038
506	0.1439086752
507	0.1439010336
508	0.143859841
509	0.1438151698
510	0.1437771209
511	0.1437696643
512	0.1437417961
513	0.1436441106
514	0.1436196143
515	0.1435661237
516	0.1434638604
517	0.1433256034
518	0.1432788677
519	0.1432715805
520	0.1432178507
521	0.1431104207
522	0.1431027984
523	0.1429908318
524	0.1428892481
525	0.1428588351
526	0.142798015
527	0.1427695445
528	0.1427050361
529	0.1426308851
530	0.1426240975
531	0.142510125
532	0.1425031508
533	0.1424549057
534	0.1423557906
535	0.1423493282
536	0.1423064118
537	0.1422650166
538	0.1422457223
539	0.1422211503
540	0.1421042426
541	0.1420709121
542	0.1419812578
543	0.1419746068
544	0.1419683343
545	0.1418375857
546	0.1417418189
547	0.1416182456
548	0.1415697767
549	0.1414805954
550	0.1413533499
551	0.1413140223
552	0.1412766304
553	0.1412249981
554	0.1411765541
555	0.141088433
556	0.1410474382
557	0.1409782516
558	0.1409355265
559	0.1409294741
560	0.1409235742
561	0.140835668
562	0.1406951206
563	0.1406171842
564	0.1405821708
565	0.1404515455
566	0.1403382862
567	0.1402200289
568	0.14018961
569	0.1401086734
570	0.1400630657
571	0.1399524809
572	0.1398755371
573	0.1398102811
574	0.1397607746
575	0.1396797072
576	0.1396235002
577	0.1395438855
578	0.1394870194
579	0.1394387713
580	0.1393407998
581	0.139236845
582	0.1391661692
583	0.139055285
584	0.1390073047
585	0.1389570766
586	0.1388855614
587	0.1387989039
588	0.138694747
589	0.1386540112
590	0.1386116493
591	0.1385448058
592	0.1384480091
593	0.1383318037
594	0.1382778714
595	0.1382235677
596	0.1381977019
597	0.1381539218
598	0.1380968084
599	0.1380909557
600	0.138064774
601	0.1379886062
602	0.1379670845
603	0.1378523493
604	0.1377988936
605	0.1377393487
606	0.1376757603
607	0.1376151843
608	0.1375586866
609	0.1374820092
610	0.1374357086
611	0.137386229
612	0.1372634004
613	0.1371890589
614	0.1371087573
615	0.13706143
616	0.1370351598
617	0.1369842112
618	0.1369077462
619	0.1368842115
620	0.1367907332
621	0.1367131841
622	0.1366821748
623	0.1366304136
624	0.1364708685
625	0.1363991879
626	0.1363288641
627	0.136293649
628	0.1362710229
629	0.1362655096
630	0.1362059497
631	0.1361750678
632	0.1360788585
633	0.1360431185
634	0.1360008835
635	0.1359765886
636	0.1359382047
637	0.135876744
638	0.1357423318
639	0.1356711157
640	0.1356236195
641	0.1354907621
642	0.1353701002
643	0.1352558613
644	0.1352260657
645	0.1351865006
646	0.1351000488
647	0.1350434479
648	0.1349331041
649	0.1348489698
650	0.1348135428
651	0.1347254727
652	0.134656757
653	0.134604304
654	0.1345498869
655	0.1345066592
656	0.1344497775
657	0.1343595347
658	0.134277745
659	0.1342371921
660	0.1342046056
661	0.1341319678
662	0.1340919176
663	0.1340438818
664	0.1339918897
665	0.1339566553
666	0.1338712246
667	0.1338349642
668	0.133794069
669	0.1337887405
670	0.1336801454
671	0.1335990124
672	0.1335699676
673	0.1335057789
674	0.1334411525
675	0.1334359384
676	0.1333736144
677	0.133306523
678	0.1332779454
679	0.1332140624
680	0.1331898425
681	0.1331462127
682	0.1331408795
683	0.1330515097
684	0.1329804946
685	0.1329289511
686	0.1328851789
687	0.1328057034
688	0.1327458039
689	0.1326318277
690	0.132565652
691	0.1325097066
692	0.1324685187
693	0.13244514
694	0.132440048
695	0.1323970709
696	0.1322927046
697	0.1322877519
698	0.1322051569
699	0.1321702784
700	0.1321148838
701	0.1320558387
702	0.1319525933
703	0.1318707448
704	0.1317907513
705	0.1317473985
706	0.1317112366
707	0.1316455518
708	0.1315676845
709	0.1315105176
710	0.1314739958
711	0.1313801446
712	0.1313485372
713	0.1312339093
714	0.1311559611
715	0.1311512695
716	0.1310776188
717	0.131072956
718	0.1310142494
719	0.1309514207
720	0.1308898698
721	0.1308853956
722	0.1308126139
723	0.1307196266
724	0.1306781098
725	0.1306137546
726	0.1305155326
727	0.1304162137
728	0.1303216208
729	0.1302267436
730	0.1301946838
731	0.1301550362
732	0.1300822487
733	0.1300465039
734	0.1300291246
735	0.1299592785
736	0.1298755323
737	0.1298487353
738	0.1298443707
739	0.1298401871
740	0.1298063167
741	0.1297593358
742	0.1296701416
743	0.129654411
744	0.1296361722
745	0.1296159873
746	0.1295946373
747	0.1294843394
748	0.1294114226
749	0.1293552029
750	0.1293165558
751	0.1292258493
752	0.1291664937
753	0.1291625336
754	0.1291452169
755	0.1291197793
756	0.1290845421
757	0.1290651881
758	0.1289783748
759	0.128966546
760	0.1289234083
761	0.1288811788
762	0.1288490045
763	0.1287968795
764	0.128762413
765	0.1287400503
766	0.1287146385
767	0.128658908
768	0.1286000019
769	0.1285942626
770	0.1285433028
771	0.1285247243
772	0.128468341
773	0.1284249407
774	0.128339902
775	0.1283171272
776	0.1282612628
777	0.1282366603
778	0.1282181404
779	0.1281515475
780	0.1280405251
781	0.12795387
782	0.1279083464
783	0.1278687901
784	0.1278512743
785	0.1278079914
786	0.1277664826
787	0.1277382571
788	0.1277065296
789	0.1276261562
790	0.1276060161
791	0.1275821045
792	0.1275418814
793	0.1275186786
794	0.1275082206
795	0.1274467892
796	0.1274207557
797	0.1273954211
798	0.1273762506
799	0.1272866708
800	0.1272335255
801	0.1272111379
802	0.1271611277
803	0.12707719
804	0.1270058395
805	0.1269261289
806	0.1269162095
807	0.1268607178
808	0.1268418194
809	0.1268089733
810	0.1267730376
811	0.1267311575
812	0.1267152603
813	0.1266339182
814	0.1265892754
815	0.126554611
816	0.1264514377
817	0.1263912523
818	0.1263391381
819	0.1262490372
820	0.1261777946
821	0.1261518098
822	0.1261271771
823	0.1261107762
824	0.1260717748
825	0.1259969639
826	0.125975212
827	0.1259169296
828	0.1258524074
829	0.1258185633
830	0.1257974982
831	0.125705285
832	0.125680197
833	0.1256489998
834	0.1255753203
835	0.1255384007
836	0.1255066451
837	0.1254188974
838	0.1253986
839	0.1253665942
840	0.1253136944
841	0.1252938716
842	0.1252358207
843	0.1251613447
844	0.1250813836
845	0.1250218803
846	0.1249681834
847	0.124860657
848	0.1248285212
849	0.1247372356
850	0.1246887035
851	0.1245868394
852	0.1245386464
853	0.1244506222
854	0.1243688947
855	0.1242863149
856	0.12420679
857	0.1241838759
858	0.1241345576
859	0.1241010112
860	0.1240729142
861	0.1240313181
862	0.124005783
863	0.1239672293
864	0.1239376425
865	0.1238521978
866	0.1238353699
867	0.1237919182
868	0.1237712797
869	0.1236771315
870	0.1236079909
871	0.1235593459
872	0.1234978888
873	0.1234572821
874	0.1233498554
875	0.1233387594
876	0.123228985
877	0.1231782667
878	0.1230969388
879	0.1230435331
880	0.1230139695
881	0.1229909229
882	0.1229642633
883	0.1229130945
884	0.122829312
885	0.1227859351
886	0.122748656
887	0.1227242711
888	0.1226565914
889	0.1226288613
890	0.1226081228
891	0.122550498
892	0.1225135023
893	0.1224638705
894	0.1223696977
895	0.1223275396
896	0.1222931865
897	0.1222284014
898	0.1222129348
899	0.1221563077
900	0.1220510267
901	0.1220227842
902	0.1219812448
903	0.1219486442
904	0.1218754368
905	0.1218594997
906	0.1218245587
907	0.1217471386
908	0.1217162061
909	0.1216725677
910	0.1216366488
911	0.1216158164
912	0.1215979689
913	0.121564324
914	0.1214823927
915	0.1214477891
916	0.1214287884
917	0.1213753733
918	0.1213281354
919	0.1212540218
920	0.1212028126
921	0.121127938
922	0.1210787249
923	0.1210605448
924	0.120976644
925	0.1209474609
926	0.1209100855
927	0.1208651759
928	0.1207966521
929	0.1207544843
930	0.1207506161
931	0.1207167411
932	0.120692066
933	0.120603388
934	0.1205801091
935	0.1205398453
936	0.1205070137
937	0.1204743096
938	0.1204530216
939	0.1204170535
940	0.1203636864
941	0.1202630002
942	0.1202038624
943	0.1201719991
944	0.1201345241
945	0.1200720461
946	0.1200561204
947	0.1200232896
948	0.1200093914
949	0.1199242448
950	0.1198933058
951	0.1198611468
952	0.1198320296
953	0.1196922485
954	0.1196628394
955	0.1196290411
956	0.1195809985
957	0.1195520491
958	0.1195097888
959	0.1194293428
960	0.1193306647
961	0.1192728476
962	0.119226976
963	0.1191915493
964	0.1191578541
965	0.119067344
966	0.1190307765
967	0.1190026773
968	0.1189228065
969	0.1189198252
970	0.1189167433
971	0.1187756586
972	0.1187402327
973	0.1187241506
974	0.1186800015
975	0.1186063481
976	0.1185303504
977	0.1185030025
978	0.1184097358
979	0.1183395847
980	0.1182884323
981	0.1182373117
982	0.1181822774
983	0.1180941774
984	0.1180830733
985	0.1180343506
986	0.1180237375
987	0.1180060435
988	0.1179596073
989	0.1179228996
990	0.1178969937
991	0.1178345676
992	0.1178174928
993	0.1177614111
994	0.1177007512
995	0.1176112384
996	0.1175859875
997	0.1175173706
998	0.1174759263
999	0.1174114599
