iter	Passed	Remaining
419	2169	2995
420	2181	3000
421	2186	2994
422	2192	2990
423	2196	2983
424	2199	2975
425	2202	2968
426	2206	2960
427	2209	2952
428	2212	2944
429	2215	2937
430	2218	2929
431	2223	2923
432	2226	2916
433	2230	2908
434	2235	2902
435	2239	2896
436	2243	2890
437	2246	2882
438	2249	2874
439	2254	2869
440	2259	2863
441	2263	2856
442	2271	2856
443	2275	2849
444	2281	2845
445	2286	2839
446	2290	2834
447	2295	2828
448	2301	2824
449	2306	2818
450	2310	2812
451	2316	2808
452	2323	2805
453	2329	2801
454	2334	2796
455	2339	2790
456	2344	2785
457	2349	2779
458	2354	2775
459	2358	2768
460	2363	2763
461	2370	2760
462	2376	2756
463	2380	2750
464	2385	2744
465	2392	2741
466	2396	2735
467	2400	2729
468	2405	2723
469	2408	2715
470	2411	2708
471	2414	2701
472	2417	2693
473	2422	2687
474	2425	2680
475	2428	2672
476	2431	2665
477	2435	2659
478	2438	2652
479	2442	2645
480	2445	2639
481	2450	2633
482	2453	2626
483	2456	2619
484	2459	2611
485	2462	2604
486	2469	2601
487	2472	2594
488	2475	2587
489	2480	2581
490	2483	2574
491	2486	2567
492	2489	2560
493	2493	2553
494	2497	2548
495	2501	2541
496	2506	2536
497	2511	2531
498	2515	2525
499	2519	2519
500	2524	2513
501	2529	2509
502	2533	2503
503	2538	2498
504	2545	2494
505	2550	2489
506	2556	2486
507	2560	2479
508	2565	2474
509	2569	2468
510	2574	2463
511	2581	2460
512	2586	2455
513	2592	2450
514	2598	2447
515	2605	2443
516	2612	2440
517	2617	2435
518	2622	2430
519	2626	2424
520	2633	2421
521	2637	2415
522	2644	2411
523	2651	2408
524	2655	2402
525	2659	2396
526	2665	2392
527	2669	2386
528	2675	2382
529	2680	2377
530	2684	2371
531	2689	2365
532	2694	2361
533	2699	2355
534	2704	2350
535	2709	2345
536	2713	2339
537	2717	2333
538	2723	2329
539	2728	2323
540	2732	2318
541	2735	2311
542	2739	2305
543	2742	2299
544	2745	2292
545	2749	2285
546	2752	2279
